Village,Dalit_mean,Dalit_median,Other_mean,Other_median,Dalit_prop,Other_prop
ananthavaram,30.69,18.008,93.727,34.8,43,57
bukkacherla,19.829,18.545,40.596,19.584,19,81
kothapalle,26.197,17.608,38.962,25.219,33,67
harevli,27.54,19.223,118.951,53.432,37,63
mahatwar,25.077,19.834,53.53,22.882,59,41
warwat_khanderao,24.843,15.14,68.4,34.479,10,90
nimshirgaon,41.647,30.998,87.393,47.014,33,67
gulabewala,25.111,19.941,339.078,180.785,60,40
