2015 annual household income,income_min,income_max,Total (trillion Btu),Per household (million Btu),Per household member (million Btu)
"Less than $20,000",0,19999,1'303,57,25.9
"$20,000 to $39,999",20000,39999,1'882,68.9,29.3
"$40,000 to $59,999",40000,59999,1'354,73.6,29.9
"$60,000 to $79,999",60000,79999,1'218,80,29.9
"$80,000 to $99,999",80000,99999,827,85.4,31.5
"$100,000 to $119,999",100000,119999,733,90.4,30.6
"$120,000 to $139,999",120000,139999,552,101.7,33.7
"$140,000 or more",140000,159999,1'244,111.2,36.8
