Per capita income category (Rs per annum),income_min,income_max,ananthavaram Dalit,ananthavaram Other,bukkacherla Dalit,bukkacherla Other,kothapalle Dalit,kothapalle Other,harevli Dalit,harevli Other,mahatwar Dalit,mahatwar Other,warwat_khanderao Dalit,warwat_khanderao Other,nimshirgaon Dalit,nimshirgaon Other,gulabewala Dalit,gulabewala Other
less than 5500,0,5499,39.5,26.3,63.2,46.6,61.4,37.2,80,37.7,79.8,72.6,64,35.5,49.4,20.5,63.4,3.7
5500–10000,5500,9999,26.1,14.6,21.1,22,16.2,38.6,12.5,26.1,13.8,11.3,20,25.6,27.3,28.2,28.5,6.2
10000–20000,10000,19999,23.6,29.3,15.8,18.1,12.7,16.5,7.5,11.6,4.3,11.3,12,24.4,16.1,31.4,8.1,22.2
20000–30000,20000,29999,10.8,11.8,0,6.5,9.7,4.9,0,10.1,2.1,0,0,11,1.2,12.1,0,16
30000–40000,30000,39999,0,4.4,0,3.9,0,0,0,4.3,0,1.6,4,2.3,5.9,0,0,9.9
40000–50000,40000,49999,0,2.2,0,2.6,0,0,0,0,0,3.2,0,0.6,0,3.1,0,11.1
>50000,50000,59999,0,11.5,0,0.4,0,2.8,0,10.1,0,0,0,0.6,0,4.7,0,30.9
